net,length_um
net161,2.4
net200,2.4
_0611_,2.38
_0139_,2.375
_0150_,2.375
_0013_,2.325
_0016_,2.325
_0112_,2.325
_0130_,2.325
_0142_,2.325
_0165_,2.325
_0221_,2.325
_0292_,2.325
net78,2.3
net85,2.3
net158,2.3
net180,2.3
net198,2.3
_0465_,2.28
_0028_,2.255
_0088_,2.255
_0127_,2.255
_0138_,2.255
_0175_,2.255
_0297_,2.18
_0488_,2.18
_0564_,2.16
_0690_,2.16
_0828_,2.16
_0880_,2.16
pulse_duration\[2\],2.16
pulse_duration\[7\],2.16
net48,2.16
net59,2.16
net72,2.16
net210,2.16
net274,2.16
net277,2.16
_0115_,2.125
_0205_,2.125
_0267_,2.125
_0032_,2.085
_0065_,2.085
_0068_,2.085
_0123_,2.085
_0166_,2.085
_0275_,2.085
_0302_,2.085
_0298_,2.08
_0091_,2.06
_0323_,2.06
_0325_,2.06
_0328_,2.06
_0336_,2.06
_0347_,2.06
_0355_,2.06
_0394_,2.06
_0418_,2.06
_0530_,2.06
_0664_,2.06
_0766_,2.06
_0785_,2.06
_0812_,2.06
_0858_,2.06
_0883_,2.06
_0350_,2.04
_0370_,2.04
_0379_,2.04
_0392_,2.04
_0692_,2.04
_0697_,2.04
_0700_,2.04
_0064_,2.035
_0040_,2.025
_0043_,2.025
_0046_,2.025
_0059_,2.025
_0062_,2.025
_0076_,2.025
_0085_,2.025
_0101_,2.025
_0117_,2.025
_0119_,2.025
_0124_,2.025
_0149_,2.025
_0153_,2.025
_0157_,2.025
_0161_,2.025
_0163_,2.025
_0168_,2.025
_0171_,2.025
_0185_,2.025
_0193_,2.025
_0195_,2.025
_0207_,2.025
_0209_,2.025
_0214_,2.025
_0223_,2.025
_0225_,2.025
_0240_,2.025
_0244_,2.025
_0247_,2.025
_0264_,2.025
_0618_,1.94
data_reg\[2\]\[4\],1.94
net92,1.94
net95,1.94
net108,1.94
net195,1.94
_0060_,1.915
_0203_,1.915
_0265_,1.915
_0014_,1.865
_0086_,1.865
_0113_,1.865
_0132_,1.865
_0170_,1.865
_0202_,1.865
_0204_,1.865
_0255_,1.865
_0268_,1.865
_0703_,1.84
net36,1.84
net80,1.84
net83,1.84
net93,1.84
net99,1.84
net100,1.84
net101,1.84
net107,1.84
net114,1.84
net118,1.84
net123,1.84
net125,1.84
net139,1.84
net141,1.84
net149,1.84
net150,1.84
net162,1.84
net169,1.84
net174,1.84
net182,1.84
net186,1.84
net197,1.84
net205,1.84
net212,1.84
net214,1.84
net215,1.84
net218,1.84
net221,1.84
net229,1.84
net232,1.84
net233,1.84
net240,1.84
net246,1.84
net248,1.84
net253,1.84
net256,1.84
net262,1.84
net271,1.84
net273,1.84
net275,1.84
net286,1.84
net289,1.84
net292,1.84
net300,1.84
net302,1.84
net308,1.84
_0559_,1.76
_0094_,1.745
_0256_,1.745
_0313_,1.72
_0499_,1.72
_0635_,1.72
_0744_,1.72
_0491_,1.7
temperature_output\[9\],1.7
net42,1.7
net196,1.7
net250,1.7
_0283_,1.685
_0345_,1.6
_0400_,1.6
_0423_,1.6
_0806_,1.6
_0825_,1.6
temperature_output\[15\],1.6
_0208_,1.575
net73,1.48
net126,1.48
net171,1.48
net223,1.48
net247,1.48
net268,1.48
net297,1.48
_0035_,1.405
_0038_,1.405
_0176_,1.405
_0222_,1.405
_0248_,1.405
_0277_,1.405
_0303_,1.405
_0632_,1.38
_0704_,1.38
net144,1.38
temperature_output\[3\],1.26
_0346_,1.14
_0373_,1.14
_0381_,1.14
_0405_,1.14
_0429_,1.14
_0430_,1.14
_0435_,1.14
_0456_,1.14
_0457_,1.14
_0666_,1.14
_0668_,1.14
_0669_,1.14
_0707_,1.14
_0737_,1.14
_0774_,1.14
_0775_,1.14
_0778_,1.14
_0780_,1.14
_0781_,1.14
_0799_,1.14
_0838_,1.14
_0840_,1.14
_0842_,1.14
_0884_,1.14
pulse_duration\[9\],1.14
_0459_,1.08
_0603_,0.92
_0715_,0.92
net27,0.92
net35,0.92
_0750_,0.8
_0751_,0.8
pulse_duration\[5\],0.8
temperature_output\[0\],0.8
temperature_output\[14\],0.8
_0696_,0.46
net37,0.46
