net,length_um
pulse_duration\[1\],278.8
_08457_,278.73
_11581_,278.5
_11030_,278.14
_01005_,277.705
_00023_,277.625
_08465_,277.52
_17557_,277.46
_01683_,276.265
_17576_,276.2
_04799_,275.68
_09743_,275.67
data_reg\[15\]\[4\],275.625
_09549_,275.1
_09872_,274.63
_03828_,274.03
data_reg\[15\]\[7\],273.715
_18218_,273.54
_17200_,273.44
_10214_,273.38
_08129_,273.28
_15725_,272.72
_02788_,272.58
_04798_,272.48
_11587_,272.32
_17124_,272.3
_10175_,272.01
_17335_,271.87
_11579_,271.61
_10635_,271.52
_11583_,271.06
_01474_,270.82
_01705_,270.73
_17424_,270.19
_15783_,269.46
_10654_,269.455
_03719_,269.28
_04769_,269.22
_17216_,269.08
_03199_,268.71
_17206_,268.37
_03894_,268.32
_09736_,268.08
_05019_,268.01
_05256_,268.01
_11594_,267.92
_11586_,267.795
_11605_,267.755
_05397_,267.46
_17126_,267.41
_10339_,267.16
_01441_,267.1
_01113_,266.86
_14218_,266.68
_17773_,266.61
_17267_,266.47
_11760_,266.27
_17204_,266.1
_10164_,265.94
_08118_,265.58
_16223_,265.5
_10675_,265.42
_14129_,264.88
_01903_,264.86
_09776_,264.86
_17214_,264.64
_02093_,264.53
_01551_,264.4
data_reg\[21\]\[4\],263.68
_09778_,263.51
_11758_,263.35
_16028_,263.25
_05196_,263.24
_17136_,263.06
_17427_,263.05
_03699_,262.54
_10998_,262.02
_14217_,261.29
_01007_,261.24
_04748_,261.22
_10199_,260.56
_02221_,260.505
_02177_,260.36
_07502_,260.12
_08464_,259.1
_17198_,258.9
_17254_,258.75
_04443_,258.52
_14132_,257.94
_18471_,257.65
_04747_,257.4
_01344_,256.72
_17292_,255.94
_11706_,254.48
_10345_,254.14
_18514_,254.135
_09483_,253.88
_09873_,253.79
_05083_,253.785
_02419_,253.28
_17141_,253.27
_02700_,253.11
_03690_,252.84
_11046_,252.83
_17260_,252.48
_10528_,251.89
_12204_,251.8
_04899_,251.68
_00093_,251.6
_02602_,251.56
_08556_,251.55
data_reg\[16\]\[7\],251.47
_03096_,251.44
_17775_,251.13
_17134_,251.12
_11117_,250.6
_09472_,250.305
_03641_,250.24
address\[1\],250.22
_09769_,249.93
_11000_,249.45
_10959_,249.28
_11615_,249.28
_15901_,249.145
_03773_,248.82
_05290_,248.8
_12121_,248.44
_17144_,247.32
_11015_,247.19
_01496_,247.01
_11635_,246.62
_03587_,246.03
_17406_,245.995
_13406_,245.68
_04674_,245.16
_11596_,244.74
_09948_,244.7
_06448_,244.32
_13407_,244.3
_02798_,244.22
_04738_,244.055
_01287_,243.82
_10346_,243.81
data_reg\[15\]\[6\],243.69
_11036_,243.68
_07161_,243.64
_15302_,243.64
_09748_,243.5
_09771_,243.48
_12453_,243.42
_00541_,242.89
_17178_,242.7
_10162_,242.535
_12124_,242.44
_00690_,241.825
_02123_,241.67
_14170_,241.24
_04541_,241.14
_11589_,240.22
_11601_,240.01
_04766_,239.64
_10477_,239.12
_04955_,238.97
_01716_,238.86
_09959_,238.86
_09774_,238.76
_02765_,238.71
_12114_,238.58
_17116_,238.58
data_reg\[16\]\[6\],238.37
_18506_,238.005
_13644_,237.95
_12116_,237.78
_16906_,237.72
_15303_,235.92
_03554_,235.5
_11584_,235.355
_10161_,235.35
_03631_,234.98
_15184_,234.98
_03643_,234.32
_00726_,233.94
data_reg\[15\]\[3\],233.79
_07431_,233.7
_15185_,233.57
_03707_,233.5
_05140_,233.06
_09749_,232.32
_14583_,232.3
_02613_,232.1
_17182_,232.06
_02588_,231.41
_02699_,231.21
_04246_,230.98
_00075_,230.375
_10197_,230.19
_02656_,229.97
_00024_,229.6
_17372_,229.36
data_reg\[20\]\[3\],229.18
_04561_,229.02
_02787_,228.96
_00032_,228.68
_14137_,228.56
_02667_,228.52
_11549_,227.98
_01573_,227.46
_10816_,227.27
_04393_,227.26
_02035_,226.82
_17191_,226.82
_02298_,226.54
_11705_,226.52
_03620_,226.385
_10307_,226.02
_01936_,225.815
_17652_,225.55
_04540_,225.45
_16158_,224.98
_11627_,224.96
_02569_,224.94
_00018_,224.76
data_reg\[15\]\[0\],224.105
_02820_,223.74
_12128_,223.34
_16290_,223.32
_02199_,223.17
_11759_,223.06
_14255_,222.88
data_reg\[15\]\[2\],222.44
_14214_,222.395
_00701_,222.21
_04409_,222.1
_11547_,221.7
_17167_,221.6
net21,221.48
_17653_,221.46
_00078_,221.085
_10165_,220.99
_07462_,220.38
_14175_,220.3
_11614_,220
_11625_,219.85
_17187_,219.74
_16353_,219.24
_14807_,219.17
_17591_,219.09
_00088_,218.765
_11014_,218.73
_00029_,218.49
_14675_,218.02
_17980_,217.7
_18260_,217.6
_17349_,217.38
_11555_,217.31
_00092_,217.28
_00063_,217.025
_18311_,216.8
_17454_,216.77
_00450_,216.72
_00081_,216.685
_08564_,216.56
_08446_,216.13
_03927_,215.8
_14618_,215.635
_04347_,215.55
_00914_,215.4
_00058_,215.37
_17418_,215.23
data_reg\[16\]\[3\],214.83
_02591_,213.88
_10997_,213.1
_17163_,213.02
_15826_,212.62
_17752_,212.04
_00448_,211.42
_10196_,211.32
_12138_,211.27
_01243_,211.205
_01056_,210.86
_08439_,210.76
_11769_,210.58
_14928_,210.49
_11557_,210.15
_00642_,209.39
_07191_,208.84
_02469_,208.81
_17479_,208.69
_02210_,208.685
_12130_,208.62
net300,208.47
_07455_,207.19
_11042_,206.61
_17118_,206.41
_08441_,206.28
_11588_,205.82
_01452_,205.77
data_reg\[15\]\[1\],205.77
_05757_,205.755
_02264_,205.7
_00534_,205.54
_05828_,205.26
_00004_,205.225
_01914_,205.02
_09782_,204.72
_03795_,204.045
_14318_,204.04
_07332_,204.02
_00057_,202.995
_11636_,202.79
_02754_,202.54
_12136_,202.11
_00076_,201.995
_02619_,201.96
_06423_,201.74
_00550_,201.58
_17318_,201.5
_00000_,201.37
_03704_,201.065
_15186_,200.82
_02722_,200.48
_00062_,200.385
_12105_,200.28
_17522_,199.9
_00599_,199.88
_11018_,199.61
_14617_,199.59
_18459_,199.58
_17366_,199.54
_13785_,199.46
_04900_,199.275
_14224_,198.98
_17693_,198.58
_00087_,198.02
_15666_,197.11
_14871_,196.88
_04870_,196.58
_04371_,196.425
_04395_,196.265
_01980_,196.15
_17488_,196.03
_10431_,195.89
_11123_,195.81
_03701_,195.67
_10198_,195.6
_11019_,195.55
_11602_,195.4
_14220_,195.02
_14358_,194.78
_08448_,194.37
_00079_,193.745
_09876_,193.24
_01727_,193.19
_09745_,192.99
_17089_,192.92
_00015_,192.78
_09783_,192.7
_09858_,192.44
_11567_,192.32
_01419_,192.27
_01051_,192.21
_18507_,192.045
_14215_,192
_04421_,191.98
_04350_,191.64
_03784_,191.2
_14216_,190.72
_00060_,190.225
_11756_,190.16
_17490_,189.95
_02262_,189.89
_03638_,189.3
_09901_,189.08
_17087_,189.06
_11068_,189.04
_11025_,189.03
_00031_,188.63
_18438_,188.545
_04266_,188.2
_11008_,187.74
_09761_,187.735
_06358_,187.4
_04346_,186.85
_05084_,186.79
_05608_,186.78
_18025_,186.2
_17323_,185.915
_11017_,185.84
_00002_,185.785
_04434_,185.75
_12171_,185.68
_09740_,185.6
_05197_,185.46
_06091_,185.44
_02188_,185.36
_01148_,185.24
_10349_,185.14
_00019_,184.92
_02057_,184.65
_08426_,183.7
_00080_,183.445
_00569_,183.24
_00030_,183.235
_00992_,183.03
_03703_,182.96
_11569_,182.94
_04229_,182.72
_10704_,182.6
_01409_,182.5
_06227_,182.46
_17319_,182.08
_04276_,181.72
_14144_,181.7
_00704_,181.66
_08402_,181.62
_17357_,181.58
data_reg\[16\]\[4\],180.86
_02045_,180.82
_00011_,180.76
_00517_,180.615
_14535_,180.335
_00086_,180.095
_00050_,180.065
_05680_,180.04
_04271_,179.94
_02471_,179.735
_00702_,179.72
_14133_,179.64
_11561_,179.29
_04307_,179.15
_10370_,179.005
_14151_,178.735
_05754_,178.645
_02170_,178.41
_05681_,178.32
_17376_,178.22
_14420_,178.16
_00017_,178.145
_02626_,178.08
_00991_,177.96
_11755_,177.87
_17434_,177.74
_04372_,177.5
data_reg\[16\]\[2\],176.74
_02624_,176.2
_08395_,176.17
_08387_,175.825
_06649_,175.665
_02166_,175.46
_05538_,175.02
_08423_,174.43
_17891_,174.32
data_reg\[16\]\[5\],174.1
_01397_,173.9
_18280_,173.74
_02953_,173.33
data_reg\[22\]\[5\],173.27
_14226_,172.84
_14225_,172.79
_08432_,172.6
_15782_,172.5
_01892_,172.41
data_reg\[22\]\[1\],172.22
_01650_,172.16
_05607_,171.82
_17559_,171.67
_17438_,171.415
_03708_,171.34
_10696_,171.34
_18510_,170.675
_14126_,170.35
_14480_,170.18
pulse_duration\[4\],170.08
_01925_,169.84
_00033_,169.785
_09271_,169.76
_17947_,169.67
_17080_,169.62
_00061_,169.335
_14192_,169.22
_04956_,168.93
_14176_,168.88
_00584_,168.78
_08458_,168.69
_11591_,168.4
_02417_,168.37
clknet_leaf_28_clk,167.975
_14102_,167.9
_05682_,167.61
_16412_,167.1
_18482_,167
_05141_,166.71
_01986_,166.7
_06604_,166.69
_15304_,166.56
_04570_,166.39
_03710_,165.76
_08431_,165.53
_00066_,165.505
_10163_,165.445
_05961_,165.325
_01989_,164.98
_05755_,164.755
_14536_,164.63
_10360_,164.34
_06421_,164.3
_08570_,164.26
_07236_,163.97
_15825_,163.92
_01430_,163.82
_18469_,163.6
_11626_,163.35
_00680_,162.49
_03731_,162.29
_00038_,162.265
_00039_,161.665
_11563_,161.57
_00028_,161.445
data_reg\[20\]\[1\],161
_08399_,160.71
_00082_,160.645
data_reg\[22\]\[3\],160.33
_04309_,160.1
_08513_,159.86
_02171_,159.33
_18026_,159.32
_01281_,159.28
_17792_,159.12
_00515_,158.98
_04546_,158.75
_03714_,158.37
_13146_,158.11
_00553_,158.1
_11004_,158.06
_08413_,157.56
_05541_,157.46
_09920_,157.38
_18300_,157.24
_09848_,157.22
_01405_,156.73
_14747_,156.64
_18032_,156.6
_01341_,156.58
_15369_,156.35
_17322_,156.14
_01518_,155.6
_00071_,155.295
_09611_,155.28
_08555_,155.26
pulse_duration\[8\],155.25
_00041_,155.165
_07153_,154.88
_08415_,154.68
_00042_,154.405
_08161_,154.28
_02003_,154.11
_04569_,154.06
_06670_,153.86
_10982_,153.8
_00020_,153.765
_01694_,153.72
_02004_,153.7
_08394_,153.46
_00089_,153.42
_03552_,153.29
_00686_,153.02
_03098_,152.48
_00083_,152.305
_17078_,152.28
_00084_,152.235
_18291_,152.16
_14171_,152.14
_18515_,151.955
_09796_,151.645
_15612_,151.485
_18001_,151.47
_18508_,151.305
_08409_,151.09
_00064_,150.585
_09812_,150.58
_10016_,150.58
_00006_,150.345
clknet_leaf_30_clk,150.13
_07456_,149.975
_02013_,149.97
_10111_,149.81
_00858_,149.6
_03740_,149.38
_00670_,149.36
_13645_,149.28
_07546_,149.18
_00012_,148.955
_06553_,148.7
_18292_,148.36
_15900_,148.33
_00044_,148.305
_00005_,147.965
_03576_,147.835
_15726_,147.83
_00544_,147.72
_14993_,147.515
_17152_,147.28
pulse_duration\[9\],147.01
_09207_,146.84
_05020_,146.52
_01283_,146.495
_15311_,146.47
_16095_,145.94
_17403_,145.94
_01029_,145.66
_10702_,145.6
_04826_,145.53
_10080_,145.52
_04890_,145.28
_00036_,145.275
_04545_,145.27
_17896_,144.74
_04272_,144.52
_08407_,144.34
_11613_,144.22
_00026_,144.205
_16096_,143.87
_06664_,143.36
net50,143.18
_00090_,143.175
_02701_,142.74
_09523_,142.74
_18523_,142.6
_03780_,142.535
_09081_,142.225
_04888_,141.72
_06790_,141.6
_00094_,141.54
_07190_,141.5
_06671_,141.41
_04177_,141.4
_09573_,141.22
_06159_,141.19
_18524_,140.995
_04514_,140.96
_00052_,140.865
_17608_,140.82
_09861_,140.78
net20,140.68
_08483_,140.26
_02702_,140.14
_07184_,139.85
_17270_,139.74
_00085_,139.685
_08856_,139.63
_00540_,139.5
clknet_leaf_31_clk,139.33
_09751_,139.32
_00552_,139.14
_07233_,139.08
_10027_,138.955
_14157_,138.72
_04676_,138.71
data_reg\[16\]\[1\],138.68
_00013_,138.455
_00025_,138.445
_04814_,138.42
_08369_,138.2
_01178_,138.165
_05890_,138.135
_18147_,138.115
_00634_,137.86
_18516_,137.69
_03861_,137.36
net18,137.34
_13226_,137.1
_06430_,137.05
_01232_,137.015
_06029_,136.95
_17916_,136.76
_06675_,136.62
_03751_,136.47
_00072_,136.305
_00546_,136.29
_10698_,136.28
_02364_,136.17
_00074_,136.165
_09994_,136.16
_10991_,135.81
_01282_,135.71
_01870_,135.66
_17437_,135.6
_18522_,135.395
_10392_,134.76
_15122_,134.66
_09395_,134.65
_00562_,134.58
_00055_,134.525
_10031_,134.49
_17328_,134.31
_04739_,134.18
_00095_,134.155
_15187_,134.1
_06789_,133.8
_08411_,133.7
_09193_,133.6
_00995_,133.4
_06439_,133.3
_05609_,132.945
_02379_,132.8
_00034_,132.76
_10101_,132.68
_02208_,132.49
_10381_,132.48
_00054_,132.335
_00096_,132.315
_00643_,132.175
_09983_,132.16
_07577_,132.14
_00547_,131.915
_17677_,131.81
_06650_,131.62
_01104_,131.42
_00035_,131.2
_18023_,130.8
_09800_,130.57
_00505_,130.52
_05683_,130.395
_00037_,130.345
_17389_,130.32
_00697_,130.28
_10985_,130.26
_09972_,130.11
_04756_,129.97
_05827_,129.96
_17315_,129.92
_05257_,129.79
_03097_,129.76
_00545_,129.74
_09993_,129.48
_17324_,129.28
_08978_,129.25
_09762_,129.24
_16922_,129.2
_04773_,128.9
_17362_,128.9
_10070_,128.8
_17500_,128.775
_00539_,128.48
_05398_,128.47
_06027_,128.38
_07178_,128.28
_17112_,128.28
_16823_,128.12
_00453_,127.96
_13408_,127.7
clknet_leaf_18_clk,127.7
_00010_,127.56
_00051_,127.44
_10423_,127.35
_00001_,127.165
_10989_,126.82
_09909_,126.8
data_reg\[22\]\[6\],126.7
_08398_,126.645
_03387_,126.47
_01969_,126.405
_06473_,126.34
_17979_,126.28
_11164_,126.22
data_reg\[27\]\[5\],126.11
_00466_,126.08
_06629_,125.98
_03120_,125.835
_05889_,125.76
_17498_,125.62
_05960_,125.27
_00915_,125.26
net100,125.04
_08401_,124.88
_08370_,124.82
_18511_,124.765
_01031_,124.71
_00069_,124.655
_00049_,124.625
pulse_duration\[11\],124.6
_01248_,124.58
_17210_,124.21
_00091_,124.095
_17070_,123.95
_17073_,123.695
_17630_,123.67
_18509_,123.605
_07195_,123.515
_04760_,123.51
_10283_,123.47
_00070_,123.395
_02645_,123.14
_11482_,123.135
_17395_,122.94
_00007_,122.885
_06676_,122.76
clknet_leaf_19_clk,122.705
_10624_,122.54
_00027_,122.51
_10402_,122.435
net312,122.18
_00014_,121.975
_08419_,121.865
_06447_,121.83
_08542_,121.77
_00994_,121.34
_00675_,121.32
_09177_,121.32
_17313_,121.12
_15489_,121.015
_06436_,120.96
u_gain3\[18\],120.88
_06594_,120.55
_09485_,120.54
_00053_,120.43
_00008_,120.305
data_reg\[22\]\[7\],120.14
_04535_,120.12
_08876_,119.81
_04189_,119.68
_00565_,119.66
clknet_leaf_16_clk,119.535
